state,electors
California,55
Texas,38
New York,29
Florida,29
Pennsylvania,20
Illinois,20
Ohio,18
Michigan,16
Georgia,16
North Carolina,15
New Jersey,14
Virginia,13
Washington,12
Tennessee,11
Massachusetts,11
Indiana,11
Arizona,11
Wisconsin,10
Missouri,10
Minnesota,10
Maryland,10
South Carolina,9
Colorado,9
Alabama,9
Louisiana,8
Kentucky,8
Oregon,7
Oklahoma,7
Connecticut,7
Utah,6
Nevada,6
Mississippi,6
Kansas,6
Iowa,6
Arkansas,6
West Virginia,5
New Mexico,5
Nebraska,5
Rhode Island,4
New Hampshire,4
Maine,4
Idaho,4
Hawaii,4
Wyoming,3
Vermont,3
South Dakota,3
North Dakota,3
Montana,3
Delaware,3
Alaska,3
D.C.,3
